id,topic,question,option_a,option_b,option_c,option_d,correct_letter,correct_text,explanation
122,Special Locations (Pt 7),Construction sites (704) typically use 110V CTE for portable tools because:,It looks different from permanent supplies,"It halves the shock voltage to earth (55V) in harsh, damp conditions",It is cheaper to install,BS 7671 does not address construction sites,B,"It halves the shock voltage to earth (55V) in harsh, damp conditions",
123,Special Locations (Pt 7),Agricultural/horticultural premises (705) require additional RCD protection because:,"Livestock can be more sensitive to shock, and the environment is damp/corrosive",There is no additional risk,Animals are unaffected by electricity,Section 705 only applies to arable farms,A,"Livestock can be more sensitive to shock, and the environment is damp/corrosive",
124,Special Locations (Pt 7),A caravan pitch electrical supply (708) is typically provided via:,A hardwired connection with no plug,"A weatherproof socket-outlet per pitch (commonly 16A), individually RCD-protected",A 13A domestic socket with no RCD,"A shared, unprotected supply",B,"A weatherproof socket-outlet per pitch (commonly 16A), individually RCD-protected",
125,Special Locations (Pt 7),The flexible cable connecting a caravan to its pitch supply should have a minimum csa of around:,1.0 mm²,1.5 mm²,2.5 mm²,4.0 mm²,C,2.5 mm²,
126,Special Locations (Pt 7),Marina (709) socket-outlets supplying pontoons/berths should be:,Standard sockets with no special consideration,"Individually 30mA RCD-protected, suitably rated for the marine environment",Fed from a single shared unprotected circuit,Prohibited under BS 7671,B,"Individually 30mA RCD-protected, suitably rated for the marine environment",
127,Special Locations (Pt 7),Medical locations (710) often use an IT system in higher-risk 'Group 2' areas primarily because:,It is cheaper,"A first fault doesn't force immediate disconnection, so life-support equipment can keep running",It removes the need for any earthing,IT systems are mandatory in all medical rooms,B,"A first fault doesn't force immediate disconnection, so life-support equipment can keep running",
128,Special Locations (Pt 7),Amendment 4 revised Section 710 (medical locations) primarily around:,Removing the requirement for supplementary bonding entirely,Enhanced supplementary bonding procedures and a schedule for recording resistance measurements,Banning IT systems in hospitals,Reducing disconnection times to zero,B,Enhanced supplementary bonding procedures and a schedule for recording resistance measurements,
129,Special Locations (Pt 7),Solar PV (712) DC-side installations need particular care because:,"DC arcs can be harder to extinguish, and can't be switched off at will while illuminated",DC has no associated shock risk,PV systems never produce DC,There is no specific PV guidance in BS 7671,A,"DC arcs can be harder to extinguish, and can't be switched off at will while illuminated",
130,Special Locations (Pt 7),"For EV charging (722) on a PME supply, a key safety concern is:",Voltage drop only,Open-PEN fault risk making vehicle metalwork dangerously live — addressed by open-PEN detection or a TT arrangement,Cable colour,PME supplies need no special measures for EV charging,B,Open-PEN fault risk making vehicle metalwork dangerously live — addressed by open-PEN detection or a TT arrangement,
131,Special Locations (Pt 7),RCD protection for an EV charge point commonly addresses smooth DC leakage by using:,A Type AC RCD only,"A Type B RCD, or Type A plus a 6mA DC RDC-DD",No RCD at all,A time-delayed (S-type) RCD only,B,"A Type B RCD, or Type A plus a 6mA DC RDC-DD",
132,Special Locations (Pt 7),Temporary installations at exhibitions/fairgrounds require:,No RCD protection because they're temporary,"30mA RCD protection on socket-outlet/public-accessible circuits, equipment out of arm's reach where relevant",Only three-phase supplies,Permanent wiring methods only,B,"30mA RCD protection on socket-outlet/public-accessible circuits, equipment out of arm's reach where relevant",
133,Special Locations (Pt 7),"Restrictive conductive locations (706), e.g. inside a metal tank, impose extra precautions mainly because:","Body resistance is effectively reduced by extensive contact with earthed metal, raising shock risk",There is no additional risk in confined metal spaces,It only relates to gas installations,The location is always outdoors,A,"Body resistance is effectively reduced by extensive contact with earthed metal, raising shock risk",
134,Prosumer & Amendment 4,A prosumer's low-voltage installation (Part 8) is one that:,Only consumes electricity,Both consumes AND can generate/store/potentially export electricity,Has no connection to the public supply,Is only found in industrial premises,B,Both consumes AND can generate/store/potentially export electricity,
135,Prosumer & Amendment 4,An EEMS (Electrical Energy Management System) is used to:,Physically rewire an installation,"Monitor and control generation, storage and consumption, potentially including automatic disconnection",Replace the main switch,Only measure voltage drop,B,"Monitor and control generation, storage and consumption, potentially including automatic disconnection",
136,Prosumer & Amendment 4,"A PEI (Power Electronic Interface, e.g. a PV/battery inverter) needs a suitable means of earthing in island mode because:",Island mode never occurs,"When disconnected from the DNO, the normal PME earth reference is unavailable, so an alternative is needed",Earthing is never required for inverters,It only applies to three-phase inverters,B,"When disconnected from the DNO, the normal PME earth reference is unavailable, so an alternative is needed",
137,Prosumer & Amendment 4,Amendment 4 introduced a completely new Chapter 57 covering:,Voltage drop,"Stationary secondary batteries (BESS) — siting, ventilation, fire risk, isolation",Cable colours,SELV circuits,B,"Stationary secondary batteries (BESS) — siting, ventilation, fire risk, isolation",
138,Prosumer & Amendment 4,"Amendment 4 introduced a new Section 716, addressing:",Swimming pools,Power over Ethernet — thermal/derating where data cables carry DC power,Agricultural premises,Fire alarm systems,B,Power over Ethernet — thermal/derating where data cables carry DC power,
139,Prosumer & Amendment 4,Amendment 4 introduced a new Chapter 81 covering:,An energy-efficiency assessment framework for LV installations,Emergency lighting only,Lightning protection,Data cabling standards,A,An energy-efficiency assessment framework for LV installations,
140,Prosumer & Amendment 4,BS 7671 Amendment 4:2026 was published on:,1 January 2026,15 April 2026,1 July 2026,31 December 2026,B,15 April 2026,
141,Prosumer & Amendment 4,Chapter 57 guidance generally advises stationary secondary batteries should NOT be sited:,In a garage,"In roof spaces, due to detection, ventilation and fire-containment challenges",On an external wall,In a purpose-designed enclosure,B,"In roof spaces, due to detection, ventilation and fire-containment challenges",
142,Prosumer & Amendment 4,Which of these originates from Amendment 2:2022 rather than Amendment 4:2026?,Chapter 57 (batteries),Section 716 (PoE),AFDD requirements (421.1.7) and the original Part 8 prosumer provisions,Chapter 81 (energy efficiency),C,AFDD requirements (421.1.7) and the original Part 8 prosumer provisions,
143,Calculations,"A circuit has Ze=0.35Ω, R1=0.10Ω, R2=0.16Ω. What is Zs?",0.35Ω,0.51Ω,0.61Ω,0.26Ω,C,0.61Ω,Zs = 0.35 + (0.10+0.16) = 0.61Ω.
144,Calculations,"A device has In=20A. After all rating factors, Iz=18.5A, and Ib=17A. Is Ib≤In≤Iz satisfied?",Yes — 17≤20≤18.5 is satisfied,No — In (20A) exceeds Iz (18.5A),"It's irrelevant, only Ib matters","Yes, because Ib is less than In",B,No — In (20A) exceeds Iz (18.5A),"In must not exceed Iz — here 20A>18.5A, so a larger cable or smaller device is needed."
145,Calculations,"A cable has It=27A. Applying Cg=0.8 and Ca=0.94, what is Iz?",20.3A,22.7A,25.4A,27.0A,A,20.3A,27×0.94×0.8 = 20.3A.
146,Calculations,"Adiabatic check: I=800A, t=0.2s, k=143. Minimum csa required?",1.9 mm²,2.5 mm²,3.6 mm²,5.0 mm²,B,2.5 mm²,√(800²×0.2)=√128000≈357.8; 357.8/143≈2.5mm².
147,Calculations,"A 25m run carries 15A design current, with a tabulated 11 mV/A/m. What's the voltage drop, and does it meet a 5% (11.5V) limit on 230V?",4.1V — complies,4.1V — does not comply,41V — does not comply,16.5V — does not comply,A,4.1V — complies,"(11×15×25)/1000=4.125V, below the 11.5V limit."
148,Calculations,"Measured R1+R2=0.42Ω, Ze=0.30Ω. What is the calculated Zs?",0.12Ω,0.42Ω,0.72Ω,0.30Ω,C,0.72Ω,Zs = 0.30+0.42 = 0.72Ω.
149,Calculations,"A ring's line conductor end-to-end resistance (r1) measures 0.8Ω, with r1=rn=r2. What would you expect the line-cpc reading at the ring's midpoint socket to be roughly?","Approximately 0.2Ω, per the standard cross-connection ring test method",Exactly 0.8Ω,Exactly 1.6Ω,0Ω,A,"Approximately 0.2Ω, per the standard cross-connection ring test method","The standard ring test should give a broadly consistent reading around a quarter of (r1+r2) at the midpoint, confirming no break."
150,Calculations,"For a three-phase balanced load, the design current Ib used to select a device is:","Checked per line conductor, based on the current that conductor actually carries","Only the total three-phase power, never per-line current",Irrelevant — three-phase never needs overcurrent protection,Irrelevant to voltage drop,A,"Checked per line conductor, based on the current that conductor actually carries",
151,Calculations,A calculation gives a required csa of 4.3mm². The size you must select is:,"4.0mm² (round down, close enough)",6.0mm² (round up to the next standard size at or above the minimum),Either is acceptable,2.5mm²,B,6.0mm² (round up to the next standard size at or above the minimum),The selected csa must never be below the calculated minimum.
152,Calculations,"Two RCDs in series (100mA time-delayed main, 30mA instantaneous final circuit) achieve discrimination, meaning:",Both will always trip simultaneously,"Under a final-circuit fault, only the 30mA device should operate, leaving the rest energised",Discrimination isn't possible with RCDs,The 100mA device is redundant,B,"Under a final-circuit fault, only the 30mA device should operate, leaving the rest energised",
